file
Series ID,Year,Period,Label,Value,1-Month % Change
CUUR0000SA0,2017,M05,2017 May,244.733,0.1
CUUR0000SA0,2017,M06,2017 Jun,244.955,0.1
CUUR0000SA0,2017,M07,2017 Jul,244.786,-0.1
CUUR0000SA0,2017,M08,2017 Aug,245.519,0.3
CUUR0000SA0,2017,M09,2017 Sep,246.819,0.5
CUUR0000SA0,2017,M10,2017 Oct,246.663,-0.1
CUUR0000SA0,2017,M11,2017 Nov,246.669,0.0
CUUR0000SA0,2017,M12,2017 Dec,246.524,-0.1
CUUR0000SA0,2018,M01,2018 Jan,247.867,0.5
CUUR0000SA0,2018,M02,2018 Feb,248.991,0.5
CUUR0000SA0,2018,M03,2018 Mar,249.554,0.2
CUUR0000SA0,2018,M04,2018 Apr,250.546,0.4
CUUR0000SA0,2018,M05,2018 May,251.588,0.4
CUUR0000SA0,2018,M06,2018 Jun,251.989,0.2
CUUR0000SA0,2018,M07,2018 Jul,252.006,0.0
CUUR0000SA0,2018,M08,2018 Aug,252.146,0.1
CUUR0000SA0,2018,M09,2018 Sep,252.439,0.1
CUUR0000SA0,2018,M10,2018 Oct,252.885,0.2
CUUR0000SA0,2018,M11,2018 Nov,252.038,-0.3
CUUR0000SA0,2018,M12,2018 Dec,251.233,-0.3
CUUR0000SA0,2019,M01,2019 Jan,251.712,0.2
CUUR0000SA0,2019,M02,2019 Feb,252.776,0.4
CUUR0000SA0,2019,M03,2019 Mar,254.202,0.6
CUUR0000SA0,2019,M04,2019 Apr,255.548,0.5
CUUR0000SA0,2019,M05,2019 May,256.092,0.2
CUUR0000SA0,2019,M06,2019 Jun,256.143,0.0
CUUR0000SA0,2019,M07,2019 Jul,256.571,0.2
CUUR0000SA0,2019,M08,2019 Aug,256.558,0.0
CUUR0000SA0,2019,M09,2019 Sep,256.759,0.1
CUUR0000SA0,2019,M10,2019 Oct,257.346,0.2
CUUR0000SA0,2019,M11,2019 Nov,257.208,-0.1
CUUR0000SA0,2019,M12,2019 Dec,256.974,-0.1
CUUR0000SA0,2020,M01,2020 Jan,257.971,0.4
CUUR0000SA0,2020,M02,2020 Feb,258.678,0.3
CUUR0000SA0,2020,M03,2020 Mar,258.115,-0.2
CUUR0000SA0,2020,M04,2020 Apr,256.389,-0.7
CUUR0000SA0,2020,M05,2020 May,256.394,0.0
CUUR0000SA0,2020,M06,2020 Jun,257.797,0.5
CUUR0000SA0,2020,M07,2020 Jul,259.101,0.5
CUUR0000SA0,2020,M08,2020 Aug,259.918,0.3
CUUR0000SA0,2020,M09,2020 Sep,260.280,0.1
CUUR0000SA0,2020,M10,2020 Oct,260.388,0.0
CUUR0000SA0,2020,M11,2020 Nov,260.229,-0.1
CUUR0000SA0,2020,M12,2020 Dec,260.474,0.1
CUUR0000SA0,2021,M01,2021 Jan,261.582,0.4
CUUR0000SA0,2021,M02,2021 Feb,263.014,0.5
CUUR0000SA0,2021,M03,2021 Mar,264.877,0.7
CUUR0000SA0,2021,M04,2021 Apr,267.054,0.8
CUUR0000SA0,2021,M05,2021 May,269.195,0.8
CUUR0000SA0,2021,M06,2021 Jun,271.696,0.9
CUUR0000SA0,2021,M07,2021 Jul,273.003,0.5
CUUR0000SA0,2021,M08,2021 Aug,273.567,0.2
CUUR0000SA0,2021,M09,2021 Sep,274.310,0.3
CUUR0000SA0,2021,M10,2021 Oct,276.589,0.8
CUUR0000SA0,2021,M11,2021 Nov,277.948,0.5
CUUR0000SA0,2021,M12,2021 Dec,278.802,0.3
CUUR0000SA0,2022,M01,2022 Jan,281.148,0.8
CUUR0000SA0,2022,M02,2022 Feb,283.716,0.9
CUUR0000SA0,2022,M03,2022 Mar,287.504,1.3
CUUR0000SA0,2022,M04,2022 Apr,289.109,0.6
CUUR0000SA0,2022,M05,2022 May,292.296,1.1
CUUR0000SA0,2022,M06,2022 Jun,296.311,1.4
CUUR0000SA0,2022,M07,2022 Jul,296.276,0.0
CUUR0000SA0,2022,M08,2022 Aug,296.171,0.0
CUUR0000SA0,2022,M09,2022 Sep,296.808,0.2
CUUR0000SA0,2022,M10,2022 Oct,298.012,0.4
CUUR0000SA0,2022,M11,2022 Nov,297.711,-0.1
CUUR0000SA0,2022,M12,2022 Dec,296.797,-0.3
CUUR0000SA0,2023,M01,2023 Jan,299.170,0.8
CUUR0000SA0,2023,M02,2023 Feb,300.840,0.6
CUUR0000SA0,2023,M03,2023 Mar,301.836,0.3
CUUR0000SA0,2023,M04,2023 Apr,303.363,0.5
CUUR0000SA0,2023,M05,2023 May,304.127,0.3
CUUR0000SA0,2023,M06,2023 Jun,305.109,0.3
CUUR0000SA0,2023,M07,2023 Jul,305.691,0.2
CUUR0000SA0,2023,M08,2023 Aug,307.026,0.4
CUUR0000SA0,2023,M09,2023 Sep,307.789,0.2
CUUR0000SA0,2023,M10,2023 Oct,307.671,0.0
CUUR0000SA0,2023,M11,2023 Nov,307.051,-0.2
CUUR0000SA0,2023,M12,2023 Dec,306.746,-0.1
